Provincia;ID_Canton;Canton;Parroquia;ID_Parroquia;ANDREA GONZALEZ;CARLOS RABASCALL;DANIEL NOBOA AZIN;ENRIQUE GOMEZ;FRANCESCO TABACCHI;HENRY CUCALON;HENRY KRONFLE KOZHAYA;IVAN SAQUICELA;JIMMY JAIRALA VALLAZZA;JORGE ESCALA;JUAN IVAN CUEVA;LEONIDAS IZA;LUIS FELIPE TILLERIA;LUISA GONZALEZ;PEDRO GRANJA;VICTOR ARAUS;Blancos;Nulos;Sufragantes;Ausentismo
EL ORO;360;ZARUMA;ABANIN;5;35;5;242;5;2;10;11;1;1;2;1;47;6;608;5;1;66;85;1134;160
MANABI;440;PORTOVIEJO;ABDON CALDERON;10;211;17;2791;7;15;34;67;8;31;30;32;37;34;6793;35;20;486;1028;11685;1999
AZUAY;285;SANTA ISABEL;ABDON CALDERON / LA UNION;15;64;7;869;2;2;6;10;4;5;12;4;122;4;758;9;4;51;124;2057;581
CHIMBORAZO;215;ALAUSI;ACHUPALLAS;20;41;41;590;24;6;43;30;17;7;17;27;1937;25;1768;22;14;290;917;5818;2364
NAPO;620;TENA;AHUANO;25;147;4;2607;24;7;12;20;14;14;12;11;463;21;958;51;7;122;260;4752;797
PICHINCHA;60;QUITO;ALANGASI;30;524;43;7434;17;40;37;40;12;22;78;23;1015;56;5474;87;147;136;869;16068;2205
COTOPAXI;100;LATACUNGA;ALAQUEZ;35;62;12;1924;28;9;13;20;3;12;32;19;1557;14;1220;21;10;71;341;5368;1092
CHIMBORAZO;200;GUANO;SANTA FE DE GALAN;40;13;3;534;0;1;2;5;1;0;0;0;110;3;144;1;3;13;42;875;96
CHIMBORAZO;200;GUANO;SAN JOSE DEL CHAZO;45;12;1;590;2;0;0;0;1;1;0;1;104;2;158;3;0;14;48;937;96
MANABI;440;PORTOVIEJO;ALHAJUELA /BAJO GRANDE;50;57;8;829;5;4;23;28;3;6;22;2;6;11;2456;12;13;232;398;4118;872
PICHINCHA;70;MEJIA;ALOAG;55;211;16;2608;2;15;20;18;10;15;30;6;1134;21;2470;24;9;65;404;7083;1088
PICHINCHA;70;MEJIA;ALOASI;60;129;4;1858;5;9;14;10;4;11;25;8;984;11;1771;21;14;43;309;5235;755
