ID_Parroquia;%BOLIVAR ARMIJOS;%DANIEL NOBOA AZIN;%FERNANDO VILLAVICENCIO;%JAN TOPIC;%LUISA GONZALEZ;%OTTO SONNENHOLZNER;%XAVIER HERVAS;%YAKU PEREZ;%BLANCOS;NEC23;Polarizacion_L1_2023;PolarizacionComparativa_L1_2023;PolarizacionComp_Euclid_2023
5;0,553;8,47926;11,15207;13,27189;52,62673;3,5023;0,553;4,70046;5,16129;3,14767;0,59486;0,55004;0,51244
10;0,31661;18,43999;5,67015;13,95951;50,56126;5,50705;0,30701;1,18968;4,04874;3,16914;0,6888;0,63577;0,57133
15;0,49478;20,61572;18,80154;13,79879;29,63167;4,72787;0,6597;9,89555;1,37438;5,08155;0,48394;0,46344;0,41614
20;1,39914;6,21842;16,86747;8,37544;44,36455;1,74893;1,47688;12,49514;7,05402;3,9606;0,5213;0,49544;0,45057
25;0,62226;10,94722;27,07997;18,02259;19,79719;2,78866;1,93593;16,63978;2,1664;5,3801;0,29138;0,38781;0,32794
30;0,25894;23,9275;21,67401;13,52789;26,5309;8,90195;0,51788;3,64616;1,01477;4,94546;0,48493;0,47411;0,41996
35;0,51335;27,12526;20,71869;14,31211;17,37166;5,44148;0,71869;12,13552;1,66324;5,40741;0,42625;0,43181;0,37655
40;0,24272;27,42718;22,45146;13,1068;10,55825;6,43204;1,21359;16,74757;1,82039;5,36778;0,36212;0,39957;0,35097
45;0,25284;26,42225;27,43363;12,5158;14,53856;3,66625;0,63211;12,76865;1,76991;5,01078;0,3934;0,43075;0,37333
50;0,18868;12,02156;5,28302;10,40431;58,97574;6,03774;0,3504;1,75202;4,98652;2,63262;0,63199;0,59385;0,56664
55;0,31177;29,24396;15,99376;15,47935;25,44037;5,44037;0,6703;6,39127;1,02884;4,83366;0,52782;0,49824;0,45096
60;0,42373;27,98729;15,4661;15,95339;25,16949;5;0,65678;7,5;1,84322;5,01916;0,51569;0,48533;0,43788
65;0;15,81769;20,91153;20,91153;28,41823;2,68097;0,2681;9,11528;1,87668;4,94382;0,42702;0,45272;0,38935
70;0,81967;6,86475;10,65574;8,91393;59,42623;2,66393;0,40984;2,76639;7,47951;2,64048;0,59284;0,56551;0,53867
75;0,42386;20,51805;21,75824;18,25746;27,7551;4,25432;0,64364;4,4584;1,93093;4,90999;0,46784;0,48208;0,41022
80;0,38403;25,97193;14,86346;15,04836;31,47165;5,71781;0,64479;4,56571;1,33226;4,61577;0,55802;0,52185;0,47687
85;0,47022;12,53918;4,54545;9,09091;58,15047;1,41066;0,47022;11,12853;2,19436;2,65372;0,6231;0,58384;0,56314
90;0;13,95349;13,37209;11,04651;27,32558;1,74419;0;28,48837;4,06977;4,86179;0,40883;0,44596;0,38341
95;0,57225;25,8226;17,34621;14,19886;19,02718;5,40057;1,14449;14,02003;2,46781;5,68601;0,43241;0,42886;0,37183
100;1,01064;11,62234;8,82979;9,92021;51,06383;7,04787;0,69149;4,14894;5,66489;3,34744;0,62781;0,54843;0,52481
105;0,73493;16,60951;12,1999;7,30034;43,41009;8,28025;0,78393;3,91965;6,76139;4,08576;0,61357;0,53828;0,5099
110;1,40977;2,34962;12,87594;7,89474;63,43985;2,63158;0,37594;0,84586;8,17669;2,34301;0,55266;0,57183;0,53085
115;0,29847;26,89964;3,54434;13,38142;46,03905;4,81283;0,2736;1,50479;3,24586;3,26755;0,72928;0,67747;0,62365
120;1,22358;2,8921;9,12125;9,01001;56,7297;6,56285;0,77864;2,44716;11,23471;2,90515;0,57057;0,54105;0,50893
125;1,54004;7,80287;18,10404;12,59411;27,37851;3,42231;1,57426;19,40452;8,17933;5,91739;0,36312;0,39532;0,33899
130;0,68991;14,92375;11,03849;15,97676;41,46696;5,88235;0,79884;6,79012;2,43282;4,16466;0,55525;0,50364;0,47518
135;0,31629;33,7902;19,60991;11,22826;17,65946;5,95677;0,63258;9,27781;1,52873;4,79313;0,49817;0,46489;0,43062
140;0,43874;10,31849;8,1248;11,48846;49,09002;11,26097;0,25999;1,8362;7,18232;3,51526;0,61242;0,54474;0,50495
145;0,20935;13,32868;10,39777;12,14236;47,31333;4,88486;0,62805;6,69923;4,39637;3,64839;0,61016;0,54105;0,51047
