ID_Parroquia;%ANDREA GONZALEZ;%CARLOS RABASCALL;%DANIEL NOBOA AZIN;%ENRIQUE GOMEZ;%FRANCESCO TABACCHI;%HENRY CUCALON;%HENRY KRONFLE KOZHAYA;%IVAN SAQUICELA;%JIMMY JAIRALA VALLAZZA;%JORGE ESCALA;%JUAN IVAN CUEVA;%LEONIDAS IZA;%LUIS FELIPE TILLERIA;%LUISA GONZALEZ;%PEDRO GRANJA;%VICTOR ARAUS;%Blancos;NEC25;Polarizacion_L1_2025;PolarizacionComparativa_L1_2025;PolarizacionComp_Euclid_2025
5;3,33969;0,4771;23,0916;0,4771;0,19084;0,9542;1,04962;0,09542;0,09542;0,19084;0,09542;4,48473;0,57252;58,01527;0,4771;0,09542;6,29771;2,54234;0,74969;0,73783;0,67052
10;1,98159;0,15965;26,2115;0,06574;0,14087;0,31931;0,62923;0,07513;0,29113;0,28174;0,30053;0,34748;0,31931;63,79602;0,3287;0,18783;4,56424;2,09993;0,77444;0,77656;0,70188
15;3,31092;0,36213;44,95603;0,10347;0,10347;0,3104;0,51733;0,20693;0,25867;0,6208;0,20693;6,31143;0,20693;39,21366;0,4656;0,20693;2,63839;2,76939;0,84104;0,81799;0,79559
20;0,83691;0,83691;12,04327;0,4899;0,12247;0,87773;0,61237;0,34701;0,14289;0,34701;0,55113;39,53868;0,51031;36,089;0,44907;0,28577;5,91958;3,31711;0,49434;0,58645;0,46947
25;3,27103;0,08901;58,01068;0,53405;0,15576;0,26702;0,44504;0,31153;0,31153;0,26702;0,24477;10,30263;0,46729;21,31731;1,13485;0,15576;2,71473;2,53875;0,71405;0,71517;0,64706
30;3,45077;0,28317;48,95621;0,11195;0,26342;0,24366;0,26342;0,07903;0,14488;0,51366;0,15147;6,68423;0,36878;36,04873;0,57293;0,96806;0,89562;2,66325;0,84121;0,81893;0,77728
35;1,23334;0,23871;38,27332;0,55699;0,17903;0,2586;0,39785;0,05968;0,23871;0,63656;0,37796;30,97275;0,2785;24,26895;0,41774;0,19893;1,41237;3,31545;0,61591;0,66128;0,5412
40;1,56062;0,36014;64,10564;0;0,12005;0,2401;0,60024;0,12005;0;0;0;13,20528;0,36014;17,28691;0,12005;0,36014;1,56062;2,18053;0,66977;0,69851;0,62529
45;1,34983;0,11249;66,3667;0,22497;0;0;0;0,11249;0,11249;0;0,11249;11,69854;0,22497;17,77278;0,33746;0;1,5748;2,05789;0,67531;0,7055;0,63309
50;1,53349;0,21523;22,30293;0,13452;0,10761;0,61878;0,7533;0,08071;0,16142;0,59188;0,05381;0,16142;0,29594;66,07479;0,32284;0,34974;6,24159;2,05448;0,74396;0,75253;0,67277
